Make	Model	Vehicle Class	Engine Size(L)	Cylinders	Transmission	Fuel Type	Fuel Consumption City (L/100 km)	Fuel Consumption Hwy (L/100 km)	Fuel Consumption Comb (L/100 km)	Fuel Consumption Comb (mpg)	CO2 Emissions(g/km)
CHEVROLET	TRAX	SUV - SMALL	1.4	4	M6	X	9.1	6.8	8.1	35	186
CHEVROLET	TRAX AWD	SUV - SMALL	1.4	4	AS6	X	10	7.8	9	31	207
CHRYSLER	300	FULL-SIZE	3.6	6	A8	X	12.4	7.7	10.3	27	237
CHRYSLER	200 CONVERTIBLE	COMPACT	2.4	4	A4	X	11.7	8.2	10.1	28	232
CHRYSLER	200 CONVERTIBLE	COMPACT	2.4	4	A6	X	12.9	8.1	10.7	26	246
CHRYSLER	200 CONVERTIBLE FFV	COMPACT	3.6	6	A6	X	12.5	8.1	10.5	27	242
CHRYSLER	200 CONVERTIBLE FFV	COMPACT	3.6	6	A6	E	17	11.2	14.4	20	230
CHRYSLER	200 SEDAN	MID-SIZE	2.4	4	A4	X	11.2	8	9.8	29	225
TOYOTA	HIGHLANDER AWD	SUV - STANDARD	3.5	6	AS8	X	12.1	9	10.6	27	251
TOYOTA	VENZA 4WD	SUV - SMALL	2.7	4	AS6	X	11.6	9.2	10.5	27	241
TOYOTA	VENZA 4WD	SUV - SMALL	2.7	4	AS6	X	11.6	9.2	10.5	27	242
TOYOTA	TACOMA	PICKUP TRUCK - SMALL	2.7	4	M5	X	11.3	9.5	10.5	27	242
TOYOTA	Sienna	MINIVAN	3.5	6	AS8	X	12.4	8.9	10.8	26	254
TOYOTA	SIENNA	MINIVAN	3.5	6	AS8	X	12.5	8.9	10.9	26	255
TOYOTA	SIENNA	MINIVAN	3.5	6	AS8	X	12.5	8.9	10.9	26	256
TOYOTA	VENZA	SUV - SMALL	3.5	6	AS6	X	12.5	9	10.9	26	251
TOYOTA	VENZA	SUV - SMALL	3.5	6	AS6	X	12.5	9	10.9	26	256
TOYOTA	VENZA	SUV - SMALL	3.5	6	AS6	X	12.6	9.1	11	26	253
TOYOTA	Sienna	MINIVAN	3.5	6	AS8	X	12.6	9.1	11	26	259
TOYOTA	TACOMA	PICKUP TRUCK - SMALL	2.7	4	A4	X	12.2	9.3	10.9	26	251
TOYOTA	HIGHLANDER	SUV - SMALL	2.7	4	AS6	X	11.7	9.5	10.7	26	246
FIAT	500L	STATION WAGON - SMALL	1.4	4	AM6	X	9.9	7.2	8.7	32	203
FIAT	500L	STATION WAGON - SMALL	1.4	4	M6	X	9.3	7.1	8.3	34	194
FIAT	500X	SUV - SMALL	1.4	4	M6	X	9.5	6.9	8.3	34	194
FIAT	500X	SUV - SMALL	2.4	4	A9	X	10.6	7.6	9.3	30	217
